car auto
audio dźwięk
hello cześć
country kraj
city miasto
tower wieża
keyboard klawiatura
you ty
bike rower
wheel koło
kitchen kuchnia
live życie
music muzyka
video wideo
motorbike motor
key klucz
child dziecko
young młody
house dom
flat mieszkanie
part cześć
school szkoła
apple jabłko
banana banan
pear gruszka
orange pomarańcza
cheerful wesoły
few kilka
new nowy
sharp ostry
sleeve rękaw
sticker naklejka
stone kamień
complete kompletny
computer komputer
constant stała
couple para
see widzieć
train pociąg
take zabrać
green zielony
red czerwony
yellow żółty
road droga
highway autostrada
issue problem
money pieniądze
progress postęp
all wszystko
book książka
admit przyznać
know wiedzieć
knowledge wiedza
reject odrzucić
fearless nieustraszony
fearfull bojaźliwy
try próbować
never nigdy
often często
envelope koperta
hesitation wahanie
seldom rzadko
polite uprzejmy
failure niepowodzenie
visedom mądrość
behave zachowywać
evoked wzbudzać
against przeciwko
figures liczby
invasion naruszyć
regretted żałować
give dawać
long długo
cause powodować
concern obawa
have mieć
deserve zasługiwać
investigation śledztwo
affect wpływać
anticipate przewidywać
astimating szacowanie
express wyrazić
complaint skarga
temporary tymczasowe
pension emerytura
attitude nastawienie
treatment leczenie
additions uzależnienia
commute dojeżdżać
ferry prom
coach autokar
plane samolot
flight lot
harbour port
platform peron
cruise rejs
bill rachunek
embarassted zarzenowany
attract przyciągnąć
litlle mało
wrap pakować
selection wybór
white biały
fee opłaty
interrupt przeszkadzać
courage odwaga
increase wzrost
decrease spadek
